id,airport_ref,airport_ident,length_ft,width_ft,surface
237727,4900,MM56,4169,50,Asphalt
237748,4904,MM61,3350,70,Asphalt
237754,4905,MM63,5590,55,Asphalt
237755,4906,MM64,4100,68,Asphalt
237757,4907,MM65,4950,95,Asphalt
237759,4908,MM66,4930,77,Asphalt
237760,4909,MM67,6570,80,Asphalt
237764,4910,MM68,6455,60,Asphalt
248462,43106,MM69,4741,70,Asphalt
237773,4913,MM72,5780,92,Asphalt
237774,4914,MM73,5365,60,Asphalt
237776,4915,MM75,3488,50,Asphalt
237793,4917,MM77,3380,50,Asphalt
237795,4918,MM79,4290,65,Asphalt
237797,4919,MM80,8170,95,Asphalt
237798,4920,MM81,4085,100,Asphalt
237799,4921,MM82,4935,40,Asphalt
237802,4922,MM84,4375,50,Asphalt
237734,4688,MMAA,5579,115,Concrete
237735,4688,MMAA,10832,148,Concrete
237801,4689,MMAL,9350,108,Asphalt
237653,4690,MMAN,6598,148,Asphalt
237654,4690,MMAN,5049,148,Asphalt
237667,4691,MMAS,3478,98,Asphalt
237668,4691,MMAS,9843,148,Asphalt
237791,4692,MMBT,8858,148,Asphalt
300696,29753,MMCA,5520,95,Asphalt
237691,4693,MMCB,9439,148,Asphalt
253039,43060,MMCC,5910,100,Asphalt
237659,4694,MMCE,7218,148,Asphalt
237804,4695,MMCG,6075,65,Asphalt
237796,4696,MMCH,4615,65,Asphalt
237730,4697,MMCL,7546,148,Asphalt
237675,4698,MMCM,7244,151,Asphalt
237694,4699,MMCN,7546,148,Asphalt
237729,4700,MMCP,8202,148,Asphalt
237750,4701,MMCS,8858,148,Asphalt
237751,4701,MMCS,5741,98,Asphalt
237649,4702,MMCT,9186,148,Concrete
237671,4703,MMCU,3609,98,Asphalt
237673,4703,MMCU,8530,148,Asphalt
237672,4703,MMCU,7885,75,Asphalt
237766,4704,MMCV,7218,148,Asphalt
237767,4704,MMCV,4659,98,Asphalt
237708,4705,MMCY,6284,98,Asphalt
237780,4706,MMCZ,10165,148,Asphalt
237781,4706,MMCZ,8858,148,Asphalt
237740,4707,MMDO,9514,148,Asphalt
237689,4708,MMEP,7546,148,Asphalt
237749,4709,MMES,4892,115,Asphalt
237662,4710,MMGL,5964,94,Asphalt
237663,4710,MMGL,13140,197,Concrete
237709,4711,MMGM,7710,148,Asphalt
249995,31554,MMGR,7216,131,Asphalt
237716,4712,MMHC,6530,115,Asphalt
237680,4713,MMHO,7546,148,Asphalt
237681,4713,MMHO,3609,98,Asphalt
237778,4714,MMIA,7546,148,Asphalt
237758,4715,MMIM,3437,82,Asphalt
237782,4716,MMIO,3471,148,Asphalt
237783,4716,MMIO,9506,148,Asphalt
237746,4717,MMIT,7640,148,Asphalt
237661,4718,MMJA,5577,82,Asphalt
237688,4719,MMJC,4265,131,Asphalt
237777,4720,MMLC,4900,98,Asphalt
237775,4721,MMLM,6562,148,Asphalt
237722,4722,MMLO,11483,148,Asphalt
237721,4723,MMLP,8202,148,Concrete
237779,4724,MMLT,7218,148,Asphalt
237715,4725,MMMA,7546,151,Asphalt
237683,4726,MMMD,10499,151,Asphalt
237684,4726,MMMD,7546,151,Asphalt
237676,4727,MMML,8530,148,Concrete
237761,4728,MMMM,11155,148,Asphalt
237768,4729,MMMT,6890,148,Asphalt
237718,4730,MMMV,4783,66,Asphalt
237717,4730,MMMV,6890,148,Asphalt
237742,4731,MMMX,12966,148,Asphalt
237741,4731,MMMX,12795,148,Asphalt
237724,4732,MMMY,9843,148,Asphalt
237725,4732,MMMY,5909,98,Asphalt
237733,4733,MMMZ,8858,197,Asphalt
237785,4734,MMNG,5905,98,Asphalt
237743,4735,MMNL,6562,148,Asphalt
237728,4736,MMOX,8038,148,Asphalt
237762,4737,MMPA,5906,148,Asphalt
237726,4738,MMPB,11811,148,Asphalt
237702,4739,MMPC,6825,85,Asphalt
237737,4740,MMPE,4805,82,Asphalt
237697,4741,MMPG,6655,98,Asphalt
237744,4742,MMPN,7874,148,Asphalt
237669,4743,MMPP,3335,60,Asphalt
237745,4744,MMPQ,4888,82,Asphalt
237792,4745,MMPR,10171,148,Asphalt
237682,4746,MMPS,7546,148,Asphalt
237647,4747,MMQT,11483,148,Concrete
237794,4748,MMRX,6243,148,Asphalt
237645,4749,MMSC,8694,98,Asphalt
237695,4750,MMSD,9843,148,Asphalt
237664,4751,MMSF,4921,98,Asphalt
237655,4869,MMSL,6998,148,Asphalt
237752,4752,MMSP,3259,98,Asphalt
237753,4752,MMSP,9867,148,Asphalt
237674,4753,MMTA,8175,98,Asphalt
237765,4754,MMTB,7065,135,Asphalt
237787,4755,MMTC,5637,98,Asphalt
237788,4755,MMTC,9022,148,Asphalt
252282,43048,MMTG,8202,148,Asphalt
237700,4757,MMTJ,9711,144,Concrete
237770,4758,MMTM,3937,98,Asphalt
237771,4758,MMTM,8366,148,Asphalt
237772,4758,MMTM,4265,98,Asphalt
237703,4759,MMTN,4735,75,Asphalt
237747,4760,MMTO,13780,148,Asphalt
237784,4761,MMTP,6562,148,Asphalt
298622,4762,MMUN,9186,148,Asphalt
237786,4762,MMUN,11483,197,Asphalt
237790,4763,MMVA,7218,148,Asphalt
237738,4764,MMVR,4997,148,Asphalt
237739,4764,MMVR,7874,148,Asphalt
237710,4765,MMZC,9843,148,Asphalt
237711,4765,MMZC,3281,98,Asphalt
237789,4766,MMZH,8202,197,Asphalt
237800,4767,MMZM,4921,75,Asphalt
237712,4768,MMZO,7218,148,Asphalt
237732,4769,MMZP,3935,95,Asphalt
237731,4769,MMZP,8860,136,Asphalt
257005,22110,MN02,4000,2000,Water
257006,22110,MN02,5000,2000,Water
252878,22111,MN03,5900,300,Water
257129,22113,MN05,6000,1000,Water
268080,22115,MN07,30,30,Concrete
248937,22117,MN09,6000,500,Water
248938,22117,MN09,12000,1000,Water
268081,22118,MN10,100,100,Concrete
252904,22128,MN21,5000,3000,Water
252905,22128,MN21,5300,4000,Water
268083,22131,MN25,40,40,Concrete
268084,22132,MN26,50,50,Concrete
268085,22133,MN27,50,50,Concrete
251423,22135,MN29,4000,300,Water
251424,22135,MN29,4000,300,Water
252497,22136,MN30,4000,2000,Water
268086,22139,MN33,125,125,Concrete
268087,22140,MN34,50,50,Concrete
257284,22141,MN35,6000,6000,Water
264051,45489,MN41,1600,100,Grass
268089,22148,MN43,50,50,Concrete
268090,22153,MN48,50,50,Concrete
256946,22159,MN54,30000,5000,Water
268091,22161,MN56,50,22,Concrete
264216,45490,MN57,2590,80,Grass
268092,22163,MN59,44,44,Concrete
268093,22169,MN65,45,45,Concrete
268094,22174,MN70,50,50,Concrete
253975,22177,MN73,5000,1000,Water
256417,22179,MN75,10000,500,Water
256418,22179,MN75,10000,500,Water
248712,22180,MN76,8100,300,Water
257868,22182,MN78,5000,500,Water
257869,22182,MN78,8000,500,Water
256932,22184,MN80,5500,750,Water
256933,22184,MN80,7000,750,Water
268095,22187,MN83,50,50,Concrete
268096,22194,MN90,40,40,Concrete
268097,22198,MN94,50,50,Concrete
238006,4770,MNBL,6625,98,Asphalt
238007,4771,MNBR,3061,75,Asphalt
316242,316239,MNCE,5003,98,Asphalt
238003,4772,MNFC,9862,148,Concrete
